Mandeville_ID	Common_Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14
AMP22_0054	Western_Blacknose_Dace	8.01924007951414e-06	0.543638358304898	2.72911160345047e-06	6.64584514380447e-06	2.26664409525174e-05	0.456128428008916	3.45827041856646e-06	6.72042702704568e-06	0.000144548767817227	4.91348505859291e-06	4.87240814128125e-06	6.19247792723602e-06	1.48931377171505e-05	7.55417587133382e-06
AMP22_0058	Creek_Chub	9.03578409538315e-06	2.77332852829685e-05	3.13928539958555e-06	7.94057981762075e-06	0.0114568120789481	3.2168457759143e-05	4.74455624318735e-06	0.00336104539684068	0.985025381346544	1.06099984817401e-05	1.05240143932264e-05	8.01754282235553e-06	3.15920111304691e-05	1.12554740812809e-05
AMP22_0061	Creek_Chub	1.12583218482465e-05	3.75938780829376e-05	5.6476985332713e-06	1.7138675456443e-05	2.58834475011903e-05	3.27235084684102e-05	5.71318087972955e-06	3.67865618818e-05	0.999730072418849	9.96375047496817e-06	9.9925750275395e-06	1.29590715741071e-05	5.26606693080477e-05	1.16066680487167e-05
AMP22_0062	Western_Blacknose_Dace	1.07697991470012e-05	0.38421981033807	7.77815696250702e-06	1.18874034273441e-05	0.182135884021719	0.432435682091905	7.84038288202384e-06	2.56239489855197e-05	0.0004995145547492	2.51418815703699e-05	2.32802074847622e-05	0.000271043429810684	3.28649194026697e-05	0.00029287871032922
AMP22_0067	Creek_Chub	2.68635336855379e-05	6.64616809454491e-05	1.25037885208098e-05	2.41919237200885e-05	7.39630193579797e-05	5.41793520175839e-05	0.0244979621476183	1.53898912481272e-05	0.974876335074504	1.62441207393689e-05	2.89176314829235e-05	2.73413106615987e-05	0.000239285712005274	4.03605579796212e-05
AMP22_0071	Creek_Chub	2.59821474722855e-05	0.486602692869802	0.00034096328941734	9.62241320613237e-06	0.10664070302248	0.405796863285922	6.08352732170701e-06	3.28383633999912e-05	0.000205856754750455	8.26875350770308e-05	5.94232462215134e-05	6.26859233543367e-05	4.97470377722992e-05	8.38505486382924e-05
AMP22_0072	Creek_Chub	1.00507778326869e-05	0.00281604351275083	6.53235918056167e-06	0.038985404441754	6.45803126200525e-05	0.000116128745265211	3.03054337965016e-05	0.00595655945424611	0.951601867149274	0.000135797538457488	0.000120599075560478	7.44935437461768e-05	2.78688092729479e-05	5.37685272351373e-05
AMP22_0075	Creek_Chub	2.66669632067157e-05	0.000306735676211078	0.000349747190744466	2.13700058263037e-05	0.000106331878603458	0.000948578962058731	1.36070231502472e-05	9.12945572103945e-06	0.994761827737093	0.000837253564411602	0.00145337436685451	0.000786899824503996	0.00019155678757661	0.000186920518497512
AMP22_0082	Common_Shiner	3.50750567208214e-05	0.000239793669975938	9.05233668591446e-06	1.13399051968377e-05	0.977994846254587	0.000311958026475883	0.0171890802822697	0.000431384155762878	0.00153872935144497	0.00066639723161782	0.000427982322208849	0.000644271386909143	3.98561656538888e-05	0.000460233893329892
AMP22_0084	Creek_Chub	1.69234983429412e-05	0.00173268254782127	2.88559861165706e-06	6.13229161000867e-06	0.0521597430116187	0.00114369237605599	3.5561820775357e-06	7.02462890560431e-06	0.94322351377209	4.44632487430823e-05	4.9610960226123e-05	0.000349092432674181	0.000379746871390428	0.000880932803747444
AMP22_0085	Creek_Chub	4.38374503409906e-05	0.000100374767218546	0.0590217446939399	0.000657612591770397	0.686600024759769	0.00204918617947027	0.0688923647298167	0.00443355665830183	0.144006720545857	0.00298670448724235	0.00352831777964036	0.0101173956762953	0.000161460497192506	0.0174006990701725
AMP22_0086	Hornyhead_Chub	0.000235892374895484	0.554130792473753	1.82499683334512e-05	2.46952942034556e-05	0.000280425287354889	0.000225969783917376	4.7488869293655e-05	0.0452653070290883	0.0029475031125701	8.67147707046013e-05	0.000111912240388688	0.128479641225624	0.00509302625011275	0.26305238134407
AMP22_0088	Creek_Chub	1.05197101148656e-05	4.19341212136155e-05	2.60847207158416e-06	6.06867314529431e-06	3.1219143008608e-05	3.60804797611455e-05	2.39315930974803e-05	0.000106870740966045	0.99962408097585	3.18939094289554e-05	2.95135055863112e-05	2.19055444860917e-05	1.6167931626632e-05	1.72057502574105e-05
AMP22_0093	Western_Blacknose_Dace	1.21036782263848e-05	0.238685446483394	4.53442283278542e-05	4.80637154009294e-06	5.42445624484169e-05	0.014365548345663	4.33419792700069e-06	0.000366995843465265	0.740886739104986	5.21223291347739e-05	8.83591110748364e-05	0.0018093984908286	4.8184360401991e-05	0.00357637225742533
AMP22_0094	Western_Blacknose_Dace	2.16113070367909e-05	0.821777894854546	5.66893260926664e-06	1.92708991656479e-05	4.13167751488702e-05	0.177747820678392	1.26619563871671e-05	8.65720705197974e-06	0.000229358556644584	1.4352516434418e-05	1.4575519182048e-05	2.84448339982709e-05	3.39922000540629e-05	4.43735273277371e-05
AMP22_0095	Western_Blacknose_Dace	2.67522753497464e-05	0.725613892892996	0.19487110110869	0.0559328079593057	0.00609719038974022	0.015953381661201	1.63157401831317e-05	0.000120253502062246	9.69603963990879e-05	0.000273552265835876	0.00030442857168281	0.000254126988191443	0.000265875783773018	0.00017336054072637
AMP22_0096	Western_Blacknose_Dace	1.22619683128182e-05	0.887043444037437	2.98469912739489e-06	0.00336442048403136	0.00932111675581843	0.100023372809208	3.53963789861982e-06	7.44650106310403e-06	0.000115736267023745	1.04863316614981e-05	9.8886122696144e-06	1.22492037336342e-05	3.22990345346264e-05	4.07536779972599e-05
AMP22_0099	Western_Blacknose_Dace	1.22159822970801e-05	0.930395292123159	5.65952073269685e-06	0.00468901863828973	8.19751273170037e-05	0.0643346469825331	1.8766134814376e-05	1.09752251643964e-05	0.00021705945834802	1.39516007982607e-05	2.22716972450861e-05	1.42949471926479e-05	0.000172735445308388	1.11369925403633e-05
AMP22_0101	Western_Blacknose_Dace	1.12089798766422e-05	0.928736838976542	1.01223963571779e-05	5.22163770636609e-06	4.12623426354542e-05	0.0526724742244116	4.36905736437951e-06	1.22041039027079e-05	0.0184338996420327	1.01286430404677e-05	1.34604868276443e-05	9.70892148623511e-06	2.74652849277289e-05	1.16349426152983e-05
AMP22_0102	Western_Blacknose_Dace	2.09248063895902e-05	0.836074969768524	1.31319666858733e-05	8.87709108842982e-06	0.0553102244318773	0.10778462174003	6.3264296810563e-06	7.88756063446809e-06	0.000372852202968122	2.52777785286299e-05	2.57534479832736e-05	0.000146782613349453	4.29211932264556e-05	0.000159448576659023
AMP22_0105	Western_Blacknose_Dace	1.32569697806096e-05	0.941810832391183	1.05446101515852e-05	8.77681400482959e-06	4.07980189985335e-05	0.0571790536732956	2.56071116326611e-05	9.91578312896345e-06	0.000768083064926752	2.65287416032447e-05	2.67510346052241e-05	2.01537158162533e-05	3.74182986073885e-05	2.228007746426e-05
