Mandeville_ID	Common_Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
AMP22_0037	Creek_Chub	3.08323482025198e-05	0.00436117869734629	1.68628646818349e-05	0.0517900090719368	0.0525938766927769	1.12208095488108e-05	0.878432129949331	0.000188318368064457	0.000165474598140795	0.0106730634782896	0.000358372046516851	0.00068483606992935	2.75988898016281e-05	0.000548640789337291	0.000117585465867821
AMP22_0038	Creek_Chub	1.22763491953286e-05	0.000211979782096035	7.44705456965533e-06	3.98361772043318e-05	9.33055996777434e-06	5.89132758135056e-06	0.999325033009052	8.94431287326918e-06	9.76908577879987e-06	0.00029279087329374	1.29346838286174e-05	7.42024121380168e-06	1.40523053092649e-05	1.04659603504303e-05	3.18290187806234e-05
AMP22_0044	Creek_Chub	1.52067939938316e-05	0.000515731179382452	1.50290347910265e-05	0.105383273551861	5.75160036276986e-06	4.24026630269775e-06	0.893544251978397	2.15511189607541e-05	2.38507917151019e-05	0.00036835741482107	1.96283771189464e-05	2.87392092459848e-05	1.07330946117831e-05	6.84138931457898e-06	3.68140453057158e-05
AMP22_0045	Creek_Chub	2.19205945677284e-05	0.000555977636147126	7.62784679548941e-06	5.66177044012092e-05	9.32874064454773e-06	7.42948972942871e-06	0.998743676106135	1.70376744989841e-05	1.96491982984769e-05	0.000456073514780127	2.61012039001735e-05	1.75504574486117e-05	2.01265622096767e-05	1.24638013681377e-05	2.8419740167716e-05
AMP22_0046	Western_Blacknose_Dace	9.46474748307045e-06	0.400397623003771	5.12592723652635e-06	3.80604839830604e-05	4.50687410342176e-06	3.45691591181275e-06	0.000134180735191195	1.42191628112176e-05	1.60309574428439e-05	0.599194348338991	1.07621730467975e-05	1.48599159844973e-05	1.65843833945325e-05	7.33938059181688e-05	6.73824724274464e-05
AMP22_0048	Creek_Chub	2.81544567543317e-05	0.00565947714998706	3.34133917248998e-05	9.78775295831949e-05	0.978440770844618	3.07439621842918e-05	0.00101895760070301	0.000396529594990151	0.000256827602783688	0.0128413139468325	8.79335595808512e-05	0.000399154981272074	6.13107948535867e-05	4.32965497318346e-05	0.000604237880177861
AMP22_0051	Western_Blacknose_Dace	3.51018215989498e-05	0.38898403241237	7.71230244502924e-06	0.000103063536863742	0.00172983617530514	5.38874348991563e-06	4.85696059909418e-05	6.0321434942947e-05	3.77222209408608e-05	0.608827242545783	2.80167433580109e-05	4.3615150741369e-05	1.81798973488053e-05	1.17067607837333e-05	5.94907561070095e-05
AMP22_0052	Western_Blacknose_Dace	0.00458570733251933	0.421674065818389	5.78656661502326e-06	9.70717770257865e-05	4.97298680028683e-06	2.49785447753721e-06	4.38658597676127e-05	8.28317637293236e-06	6.8637856017028e-06	0.573482974432409	6.40690121237506e-06	6.10441809846234e-06	7.73791809881152e-06	5.79864512381263e-06	6.18624787115451e-05
AMP22_0053	Creek_Chub	1.86587241870937e-05	0.0539773243197241	5.04309207157578e-06	0.0519442528715978	0.00173747626002382	1.81634127737473e-05	0.86553161350886	5.58653286113946e-05	9.08284938067888e-05	0.0264671056716046	3.4433673873174e-05	6.70698454470943e-05	1.04193190239244e-05	9.71940710972285e-06	3.20259685189281e-05
AMP22_0054	Western_Blacknose_Dace	8.29911458683495e-06	0.437118595441182	3.32390480356507e-06	2.7478710087128e-05	4.7977093301449e-06	2.84056677685328e-06	7.79676386631672e-05	4.80685018519151e-06	4.62350212604584e-06	0.562703324586153	5.43222494519188e-06	6.74891072690533e-06	8.96393925120428e-06	6.25777797639252e-06	1.65397174260404e-05
